Precinct No.,Precinct Name,Active,Inactive
0924,924 - LONDON TOWNE #2,733,138
0925,925 - OLD MILL,1814,198
0926,926 - POWELL,4332,773
0927,927 - LEES CORNER #1,1948,121
0928,928 - POPLAR TREE,2737,161
0929,929 - DIFFICULT RUN,733,36
0930,930 - LEES CORNER #2,2227,123
0931,931 - CARSON,1985,115
0932,932 - STONE SOUTH,1679,331
0933,933 - COMPTON,699,110
# of Precincts in the Locality:,,670532,68741
0101,101 - KETTLE RUN,1117,117
0102,102 - CATLETT,2791,170
0103,103 - CASANOVA,1197,101
0104,104 - LOIS,1144,63
0105,105 - OPAL,1148,89
0106,106 - BALDWIN RIDGE,1487,97
0201,201 - COURTHOUSE,3109,369
0202,202 - AIRLIE,2384,172
0203,203 - WARRENTON,2775,334
0301,301 - MORRISVILLE,1877,143
0302,302 - REMINGTON,2645,264
0303,303 - BEALETON,3129,400
0401,401 - MARSHALL,2497,192
0402,402 - LEEDS,2342,164
0403,403 - WATERLOO,2925,225
0404,404 - SPRINGS VALLEY,1319,107
0501,501 - THE PLAINS,2179,263
0502,502 - NEW BALTIMORE,2307,188
0503,503 - BROAD RUN,2147,143
0504,504 - VINT HILL,2970,204
# of Precincts in the Locality:,,43489,3805
0101,101 - LOCUST GROVE,2004,112
0201,201 - LITTLE RIVER,2150,107
0301,301 - COURTHOUSE,1941,109
0401,401 - BURKS FORK,1872,103
0501,501 - INDIAN VALLEY,1987,101
# of Precincts in the Locality:,,9954,532
0101,101 - PALMYRA,3518,358
0201,201 - COLUMBIA,2491,166
0301,301 - FORK UNION,2823,212
0401,401 - CUNNINGHAM,3427,300
0501,501 - RIVANNA,3715,450
# of Precincts in the Locality:,,15974,1486
0102,102 - BURNT CHIMNEY,2312,150
0103,103 - SCRUGGS,3624,253
0201,201 - GLADE HILL,1908,141
0202,202 - PENHOOK,1492,84
0203,203 - HODGESVILLE,358,33
0204,204 - DUDLEY,1277,89
0301,301 - SNOW CREEK,991,54
0302,302 - FORK MOUNTAIN,833,36
0303,303 - SONTAG,1838,126
0304,304 - DICKINSON,708,34
0401,401 - HENRY,1731,122
0402,402 - FERRUM,968,114
0403,403 - ENDICOTT,914,45
0501,501 - WAIDSBORO,1174,80
0502,502 - CALLAWAY,1576,66
0503,503 - BOWMANS,844,43
0504,504 - GOGGINSVILLE,1214,56
0601,601 - BOONES MILL,2030,92
0602,602 - BONBROOK,1841,102
0603,603 - COOPERS COVE,1309,68
0701,701 - ROCKY MOUNT EAST,2075,154
0702,702 - ROCKY MOUNT WEST,1468,109
0703,703 - ROCKY MOUNT SOUTH,1215,71
# of Precincts in the Locality:,,33700,2122
0101,101 - RUSSELLS,1976,129
0102,102 - GORE,2404,227
0103,103 - KERNSTOWN,2530,195
0104,104 - CEDAR CREEK,1468,168
0201,201 - GAINESBOROUGH,1351,98
0202,202 - ALBIN,2141,150
0203,203 - REDLAND,2722,296
0204,204 - NAIN,2056,155
0301,301 - CLEAR BROOK,1445,148
0302,302 - NEFF'S TOWN,2577,392
0303,303 - WHITE HALL,3247,294
0401,401 - CARPERS VALLEY,2447,222
0402,402 - SHENANDOAH,1407,120
0403,403 - PARKIN'S MILL,2205,401
0404,404 - ARMEL,2090,188
0501,501 - STEPHENS CITY,2246,236
0502,502 - NEWTOWN,2770,344
0503,503 - CANTERBURG,2584,300
0601,601 - MILLBROOK,1813,172
0602,602 - ASH HOLLOW,2390,296
0603,603 - GREENWOOD,3294,303
# of Precincts in the Locality:,,47163,4834
0101,101 - GLEN LYN,179,15
0102,102 - RICH CREEK,760,98
0103,103 - NARROWS,2186,192
0201,201 - PEARISBURG,2872,253
0202,202 - STAFFORDSVILLE,481,40
0203,203 - WHITE GATE,255,19
0301,301 - EGGLESTON,833,39
0302,302 - PEMBROKE,2000,112
0303,303 - NEWPORT,1100,74
# of Precincts in the Locality:,,10666,842
0101,101 - HARCUM,1865,105
0102,102 - SALEM,1629,99
0103,103 - PEASLEY,1181,80
0201,201 - COURTHOUSE,1961,116
0202,202 - BOTETOURT,2969,209
0301,301 - WHITE MARSH,2240,141
0302,302 - ROANES,2828,156
0401,401 - HAYES,2479,275
0402,402 - SARAHS CREEK,2189,176
0501,501 - ACHILLES,3144,184
0502,502 - WALKER,2136,154
# of Precincts in the Locality:,,24621,1695
0101,101 - FIFE,1193,47
0102,102 - HADENSVILLE,1879,111
0201,201 - THREE SQUARE,576,23
0202,202 - SANDY HOOK,2403,87
0301,301 - GOOCHLAND COURT HOUSE 1,1543,41
0302,302 - GOOCHLAND COURT HOUSE 2,688,46
0402,402 - CENTERVILLE,3452,136
0501,501 - MANAKIN,2402,90
0502,502 - BLAIR ROAD,1348,66
# of Precincts in the Locality:,,15484,647
0101,101 - BRIDLE CREEK,413,10
0102,102 - FLATRIDGE,256,11
0103,103 - GRANT,420,9
0104,104 - MOUTH OF WILSON,318,5
0105,105 - MOUNT ROGERS,429,14
0106,106 - RUGBY,339,4
0107,107 - TROUTDALE,213,5
0108,108 - COMERS ROCK,295,5
0202,202 - ELK CREEK,669,27
0203,203 - INDEPENDENCE,1917,62
0301,301 - BAYWOOD,1076,31
0302,302 - FAIRVIEW,1443,47
0401,401 - FRIES,648,16
0402,402 - PROVIDENCE,1258,41
0403,403 - OLDTOWN,596,23
# of Precincts in the Locality:,,10290,310
0101,101 - DYKE,1173,69
0102,102 - SWIFT RUN,1743,158
0201,201 - RUCKERSVILLE,2786,217
0301,301 - STANARDSVILLE,2819,185
0401,401 - MIDWAY,3060,238
# of Precincts in the Locality:,,11581,867
0101,101 - PRECINCT 1-A,663,41
0102,102 - PRECINCT 1-B,295,13
0103,103 - PRECINCT 1-C,502,105
0201,201 - PRECINCT 2-A,815,65
0202,202 - PRECINCT 2-B,938,51
0302,302 - PRECINCT 3-A,1641,122
0401,401 - PRECINCT 4-A,411,27
0402,402 - PRECINCT 4-B,720,57
0403,403 - PRECINCT 4-C,327,17
# of Precincts in the Locality:,,6312,498
0101,101 - CHILDREY,1003,25
0102,102 - LIBERTY,535,25
0103,103 - REPUBLICAN GROVE,1195,49
0201,201 - CLAYS MILL,741,33
0202,202 - CROSSROADS,713,32
0203,203 - CLOVER,1235,50
0302,302 - MEADVILLE,511,20
0304,304 - VERNON HILL,800,36
0305,305 - SINAI,1803,101
0401,401 - COURTHOUSE,1441,81
0403,403 - CENTER,1377,104
0502,502 - DAN RIVER,1908,165
0503,503 - SCOTTSBURG,866,46
0601,601 - BLACK WALNUT,1087,68
0603,603 - MT CARMEL,1514,72
0605,605 - UNION,456,19
0701,701 - HYCO,1413,56
0702,702 - MIDWAY,974,51
0703,703 - VIRGILINA,723,32
0801,801 - SOUTH BOSTON EAST,1571,144
0802,802 - SOUTH BOSTON WEST,893,87
# of Precincts in the Locality:,,22759,1296
0101,101 - ASHLAND,1968,127
0104,104 - SLIDING HILL,1986,108
0105,105 - BERKLEY,1882,176
0106,106 - KERSEY CREEK,1245,30
0107,107 - CHICKAHOMINY,1611,53
0201,201 - BEAVERDAM,2716,113
0202,202 - BLUNTS,1324,57
0203,203 - WILMINGTON PARISH,1818,61
0206,206 - COURTHOUSE,1096,43
0208,208 - OAK KNOLL,1656,56
0209,209 - WEST HANOVER,546,21
0210,210 - OAK HILL,627,17
0301,301 - CLAY,2449,85
0303,303 - SHADY GROVE,2011,118
0304,304 - ATLEE,3681,108
0305,305 - COOL SPRING,2290,100
0401,401 - BATTLEFIELD,2522,74
0403,403 - COLD HARBOR,3048,146
0404,404 - BLACK CREEK,2565,63
0405,405 - PEBBLE CREEK,1418,80
0406,406 - BEAVERDAM CREEK,608,71
0502,502 - RURAL POINT,2075,46
0503,503 - NEWMAN,1999,120
0504,504 - STUDLEY,1440,21
0505,505 - TOTOPOTOMOY,1226,31
0506,506 - GEORGETOWN,1668,28
0507,507 - LAUREL MEADOW,2073,99
0601,601 - VILLAGE,3358,164
0602,602 - LEE DAVIS,2577,116
0603,603 - MECHANICSVILLE,1999,161
0604,604 - HANOVER GROVE,1600,64
0701,701 - FARRINGTON,2195,72
0702,702 - MONTPELIER,2015,54
0703,703 - ROCKVILLE,2103,43
0704,704 - ELMONT,2529,131
0705,705 - SOUTH ANNA,1188,31
# of Precincts in the Locality:,,69112,2888
0101,101 - COALPIT,3346,213
0102,102 - DUMBARTON,3454,597
0103,103 - GLEN ALLEN,3599,201
0104,104 - GLENSIDE,2214,352
0105,105 - GREENDALE,1646,141
0106,106 - HERMITAGE,3067,251
0107,107 - HILLIARD,1157,79
0108,108 - HUNGARY CREEK,3769,122
0109,109 - HUNTON,903,22
0110,110 - JOHNSON,1080,125
0111,111 - LAKESIDE,2464,214
0112,112 - LONGAN,2806,331
0113,113 - MAUDE TREVVETT,1103,67
0114,114 - MONUMENT HILLS,990,75
0115,115 - STAPLES MILL,3834,190
0116,116 - SUMMIT COURT,1274,93
0117,117 - WESTWOOD,1766,122
0201,201 - ADAMS,1689,74
0202,202 - AZALEA,3413,561
0203,203 - BELMONT,2249,158
0204,204 - BROOKLAND,678,36
0205,205 - CANTERBURY,793,6
0206,206 - CENTRAL GARDENS,2612,155
0207,207 - CHAMBERLAYNE,2436,103
0208,208 - FAIRFIELD,2326,241
0209,209 - GLEN LEA,1580,70
0210,210 - GREENWOOD,1451,67
0211,211 - HIGHLAND GARDENS,1994,171
0212,212 - HOLLYBROOK,758,63
0213,213 - HUNGARY,1550,71
0214,214 - LONGDALE,1474,105
0215,215 - MAPLEWOOD,2483,133
0216,216 - MOODY,1016,129
0217,217 - MOUNTAIN,560,23
0218,218 - OAKVIEW,201,20
0219,219 - RANDOLPH,325,13
0220,220 - RATCLIFFE,3397,215
0221,221 - STRATFORD HALL,382,30
0222,222 - WILDER,1869,67
0223,223 - YELLOW TAVERN,3212,425
0301,301 - CAUSEWAY,1785,156
0302,302 - CEDARFIELD,2473,138
0303,303 - INNSBROOK,2357,176
0304,304 - JACKSON DAVIS,1540,94
0305,305 - NUCKOLS FARM,3048,158
0306,306 - POCAHONTAS,2298,341
0307,307 - RIDGE,1575,91
0308,308 - RIVERS EDGE,2458,148
0309,309 - SADLER,2365,201
0310,310 - SHADY GROVE,3052,257
0311,311 - SHORT PUMP,3152,292
0312,312 - SPRINGFIELD,1862,290
0313,313 - STONEY RUN,3816,434
0314,314 - THREE CHOPT,2809,279
0315,315 - TUCKER,3300,868
0401,401 - BYRD,2900,306
0402,402 - CRESTVIEW,2258,396
0403,403 - DERBYSHIRE,1795,65
0404,404 - FREEMAN,1724,148
0405,405 - GAYTON,3261,149
0406,406 - GODWIN,2350,163
0407,407 - LAKEWOOD,2196,137
0408,408 - LAUDERDALE,2612,288
0409,409 - MAYBEURY,2561,185
0410,410 - MOORELAND,1759,58
0411,411 - PEMBERTON,2219,254
0412,412 - PINCHBECK,3000,286
0413,413 - RIDGEFIELD,2915,259
0414,414 - ROLLINGWOOD,1722,99
0415,415 - SKIPWITH,1523,112
0416,416 - SPOTTSWOOD,1031,39
0417,417 - TUCKAHOE,3483,117
0418,418 - WELBORNE,1706,265
0419,419 - WEST END,2575,294
0501,501 - ANTIOCH,1809,47
0502,502 - CEDAR FORK,1228,51
0503,503 - CHICKAHOMINY,2289,153
0504,504 - DONAHOE,1601,138
0505,505 - DOREY,2269,92
0506,506 - EANES,2261,139
0507,507 - ELKO,674,27
0508,508 - HIGHLAND SPRINGS,2083,200
0509,509 - LABURNUM,2167,217
0510,510 - MEHFOUD,1865,97
0511,511 - MONTROSE,4153,327
0512,512 - NINE MILE,1185,114
0513,513 - PLEASANTS,2969,239
0514,514 - ROLFE,4397,263
0515,515 - SANDSTON,2007,133
0516,516 - SULLIVANS,1737,76
0517,517 - TOWN HALL,974,29
0518,518 - WHITLOCKS,1893,71
# of Precincts in the Locality:,,195961,16087
0101,101 - BASSETT NUMBER TWO,893,82
0102,102 - GUNVILLE,1615,145
0103,103 - SCOTT'S TANYARD,2577,150
0201,201 - FIELDALE,1015,67
0202,202 - HORSEPASTURE #1,1693,88
0203,203 - HORSEPASTURE #2,1561,79
0204,204 - SPENCER,1771,83
0302,302 - AXTON,1118,46
0303,303 - IRISBURG,2069,116
0304,304 - MOUNT OLIVET,2034,169
0305,305 - MOUNTAIN VALLEY,997,44
0401,401 - COLLINSVILLE NUMBER 1,1095,103
0402,402 - DANIELS CREEK,1231,188
0404,404 - COLLINSVILLE NUMBER 2,1983,196
0405,405 - MOUNTAIN VIEW,1047,89
0501,501 - BASSETT NUMBER ONE,977,61
0502,502 - FIGSBORO,1251,71
0503,503 - STANLEYTOWN,1918,135
0504,504 - OAK LEVEL,672,51
0505,505 - DYERS STORE,783,44
0601,601 - FONTAINE,1559,130
0602,602 - HILLCREST,759,57
0603,603 - RIDGEWAY #1,2013,142
0604,604 - RIDGEWAY #2,1318,111
# of Precincts in the Locality:,,33949,2447
0001,001 - MONTEREY,613,15
0003,003 - WILSONS MILL,127,0
0005,005 - BLUE GRASS,314,2
0007,007 - MILL GAP,211,1
0008,008 - MCDOWELL,382,7
0010,010 - HEADWATERS,102,3
# of Precincts in the Locality:,,1749,28
0101,101 - SMITHFIELD,3109,252
0102,102 - CYPRESS CREEK,2336,181
0201,201 - BARTLETT,2891,216
0202,202 - CARROLLTON,2713,275
0301,301 - RUSHMERE,2272,161
0302,302 - PONS,2491,126
0401,401 - COURTHOUSE,1006,48
0402,402 - WINDSOR,2013,187
0403,403 - LONGVIEW,1781,121
0501,501 - WALTERS,1062,73
0502,502 - CAMPS MILL,619,63
0503,503 - CARRSVILLE,772,54
0504,504 - ZUNI,1476,84
0505,505 - RAYNOR,787,47
# of Precincts in the Locality:,,25328,1888
0101,101 - BERKELEY A,4167,345
0102,102 - BERKELEY B,2231,232
0103,103 - BERKELEY C,3926,299
0201,201 - JAMESTOWN A,1048,99
0202,202 - JAMESTOWN B,3114,462
0203,203 - JAMESTOWN C,2250,242
0204,204 - JAMESTOWN D,3462,154
0301,301 - POWHATAN A,3451,239
0302,302 - POWHATAN B,1257,104
0303,303 - POWHATAN C,1337,83
0304,304 - POWHATAN D,3408,439
0401,401 - STONEHOUSE A,2977,210
0402,402 - STONEHOUSE B,4110,230
0403,403 - STONEHOUSE C,2874,142
0501,501 - ROBERTS A,1935,208
0502,502 - ROBERTS B,3742,212
0503,503 - ROBERTS C,728,108
0504,504 - ROBERTS D,3269,328
# of Precincts in the Locality:,,49286,4136
0101,101 - OWENTON,908,68
0201,201 - CLARKS,954,52
0301,301 - SHACKLEFORDS,940,68
0401,401 - COURTHOUSE,1005,57
0501,501 - OLDMILL,879,53
# of Precincts in the Locality:,,4686,298
0101,101 - COURTHOUSE,2324,141
0102,102 - PASSAPATANZY,1223,107
0201,201 - MONROE,3637,285
0301,301 - DAHLGREN,3357,445
0401,401 - SHILOH,3508,264
# of Precincts in the Locality:,,14049,1242
0101,101 - WEST POINT,2080,135
0201,201 - SWEET HALL,754,34
0202,202 - COURTHOUSE,1410,52
0301,301 - AYLETT,2014,113
0401,401 - MANQUIN,2166,100
0501,501 - MANGOHICK,2300,73
# of Precincts in the Locality:,,10724,507
0101,101 - PRECINCT 1-1,1701,97
0201,201 - PRECINCT 2-1,1549,69
0301,301 - PRECINCT 3-1,1301,45
0302,302 - PRECINCT 3-2,544,33
0401,401 - PRECINCT 4-1,1467,86
0501,501 - PRECINCT 5-1,1826,126
# of Precincts in the Locality:,,8388,456
0101,101 - ELYDALE,950,117
0102,102 - EWING,839,113
0103,103 - ROSE HILL,1511,215
0201,201 - BLACKWATER,278,27
0202,202 - FLATWOODS,1126,42
0203,203 - NORTH JONESVILLE,794,24
0204,204 - SOUTH JONESVILLE,1041,26
0301,301 - BEN HUR,1541,29
0302,302 - WEST PENNINGTON GAP,471,29
0303,303 - WOODWAY,1284,40
0401,401 - STICKLEYVILLE,672,17
0402,402 - JASPER,461,12
0403,403 - SEMINARY,585,14
0404,404 - DRYDEN,1319,33
0501,501 - SAINT CHARLES,466,12
0502,502 - STONE CREEK,448,16
0503,503 - EAST PENNINGTON GAP,1368,40
0504,504 - ROBBINS CHAPEL,215,6
0505,505 - KEOKEE,352,0
# of Precincts in the Locality:,,15721,812
0107,107 - LITTLE RIVER,4043,312
0108,108 - MERCER,2178,89
0112,112 - FREEDOM,3009,203
0114,114 - DULLES SOUTH,1172,59
0117,117 - CARTER,3233,305
0118,118 - MOOREFIELD,1728,63
0119,119 - ARCOLA,2354,182
0120,120 - LUNSFORD,2195,125
0121,121 - TOWN HALL,1611,185
0122,122 - HUTCHISON FARM,2663,233
0207,207 - RIVER BEND,1786,128
0208,208 - ALGONKIAN,1801,146
0209,209 - POTOMAC FALLS,2569,193
0210,210 - CASCADES,3146,302
0213,213 - COUNTRYSIDE,1084,209
0214,214 - SUGARLAND NORTH,3137,293
0215,215 - SUGARLAND SOUTH,2856,374
0216,216 - LOWES ISLAND,2449,188
0217,217 - SOUTH BANK,2706,191
0218,218 - UNIVERSITY CENTER,1913,623
0219,219 - GALILEE CHURCH,2143,288
0301,301 - PURCELLVILLE,2843,176
0302,302 - ROUND HILL,2165,135
0303,303 - HILLSBORO,2174,152
0305,305 - PHILOMONT,1066,78
0307,307 - MIDDLEBURG,1296,118
0308,308 - ST LOUIS,1293,88
0309,309 - ALDIE,954,72
0310,310 - MOUNTAIN VIEW,2760,272
0311,311 - ROUND HILL ELEMENTARY,2027,114
0312,312 - BRIAR WOODS,3200,121
0313,313 - PINEBROOK,1310,52
0314,314 - LEGACY,2453,82
0315,315 - FIREHOUSE,818,58
0316,316 - CREIGHTON'S CORNER,2480,239
0401,401 - WEST LOVETTSVILLE,2667,215
0402,402 - WATERFORD,2417,123
0403,403 - LUCKETTS,2384,152
0407,407 - HARPER PARK,2092,201
0408,408 - EVERGREEN,2140,190
0409,409 - CLARKES GAP,2559,172
0411,411 - EAST LOVETTSVILLE,2116,156
0413,413 - TUSCARORA,148,12
0414,414 - RED ROCK,1453,129
0416,416 - HAMILTON,3068,220
0417,417 - BETWEEN THE HILLS,337,40
0418,418 - REHAU,2243,190
0419,419 - J. L. SIMPSON,2349,105
0501,501 - WEST LEESBURG,2600,227
0502,502 - EAST LEESBURG,3120,579
0503,503 - DRY MILL,1404,149
0504,504 - SMARTS MILL,2606,336
0505,505 - COOL SPRING,2756,238
0506,506 - BRANDON PARK,1744,313
0507,507 - GREENWAY,1485,181
0508,508 - BALLS BLUFF,2614,262
0509,509 - TOLBERT,2390,253
0510,510 - HERITAGE,1692,118
0615,615 - HILLSIDE,2529,278
0616,616 - EAGLE RIDGE,3217,189
0617,617 - OAK GROVE,902,88
0618,618 - MILL RUN,2596,479
0619,619 - RIDGETOP,1236,334
0620,620 - RUSSELL BRANCH,2869,330
0621,621 - DOMINION TRAIL,3054,311
0622,622 - FARMWELL STATION,3403,330
0623,623 - WELLER,3392,297
0701,701 - SULLY,2732,268
0702,702 - PARK VIEW,2277,270
0703,703 - ROLLING RIDGE,2511,405
0705,705 - FOREST GROVE,3321,451
0707,707 - CLAUDE MOORE PARK,1955,189
0708,708 - SENECA,2410,228
0709,709 - MIRROR RIDGE,2585,263
0710,710 - STERLING,2176,251
0808,808 - STONE BRIDGE,3152,266
0810,810 - CEDAR LANE,2774,280
0813,813 - SELDENS LANDING,2061,338
0814,814 - NEWTON - LEE,2852,246
0815,815 - BELMONT RIDGE,4715,300
0817,817 - SANDERS CORNER,2836,246
0818,818 - BROAD RUN,2075,184
0819,819 - HERITAGE CHURCH,2039,205
0820,820 - BELMONT STATION,2172,158
# of Precincts in the Locality:,,192840,18193
0101,101 - ZION,1944,106
0102,102 - MECHANICSVILLE,1247,75
0201,201 - LOUISA #1,1405,81
0202,202 - LOUISA #2,1371,99
0301,301 - PATRICK HENRY NO 1,2555,131
0302,302 - PATRICK HENRY #2,650,36
0401,401 - MINERAL,2310,126
0402,402 - YANCEYVILLE,682,84
0501,501 - FREDERICKS HALL,1615,96
0502,502 - CUCKOO,1195,117
0601,601 - BUMPASS,1205,84
0602,602 - LOCUST CREEK,1535,112
0701,701 - SHELTONS MILL,1649,86
0702,702 - SOUTH ANNA,1288,80
# of Precincts in the Locality:,,20651,1313
0101,101 - PLYMOUTH,914,98
0201,201 - BROWNS STORE,837,58
0301,301 - ROSEBUD,571,32
0302,302 - FLAT ROCK,633,31
0401,401 - ARROWHEAD GUN CLUB,418,26
0402,402 - PLEASANT GROVE,779,52
0501,501 - REEDY CREEK,549,29
0502,502 - PEOPLES COMMUNITY CENTER,658,46
0601,601 - HOUNDS CREEK,1053,41
0701,701 - MEHERRIN FIRE DEPARTMENT,511,35
0702,702 - VICTORIA PUBLIC LIBRARY,617,53
# of Precincts in the Locality:,,7540,501
0001,001 - OAK PARK,1003,130
0002,002 - RADIANT,1426,111
0003,003 - ROCHELLE,666,35
0004,004 - GRAVES MILL,71,7
0005,005 - MADISON,1646,97
0006,006 - WOLFTOWN,837,66
0007,007 - BRIGHTWOOD,1519,129
0008,008 - CRIGLERSVILLE,777,58
0009,009 - ETLAN,440,46
# of Precincts in the Locality:,,8385,679
0001,001 - CHESAPEAKE,1554,79
0002,002 - WESTVILLE,2442,89
0003,003 - PIANKATANK,2747,111
# of Precincts in the Locality:,,6743,279
0101,101 - WRIGHTS STORE,757,26
0102,102 - PEARSONS STORE,211,34
0103,103 - SOUTH CLARKSVILLE,1355,109
0201,201 - BOYDTON,823,43
0202,202 - BLUESTONE SENIOR HIGH SCHOOL,339,30
0203,203 - CHASE CITY VFW POST,700,43
0301,301 - BRACEY,1405,120
0302,302 - LACROSSE,1002,65
0401,401 - AMERICAN LEGION HALL,2068,230
0402,402 - PARK VIEW MIDDLE SCHOOL,268,25
0501,501 - SOUTH HILL,2328,348
0601,601 - BASKERVILLE,1003,67
0602,602 - UNION LEVEL,523,36
0603,603 - SMITH CROSSROADS,354,16
0604,604 - LAKE GASTON,507,48
0701,701 - CHASE CITY,1170,89
0702,702 - SUNSHINE,839,38
0801,801 - FINCHLEY,319,17
0802,802 - BLUESTONE,1146,56
0803,803 - CHASE CITY ELEMENTARY SCHOOL,852,49
0901,901 - AVERETT,272,10
0902,902 - BUFFALO SPRINGS,484,30
0903,903 - CLARKSVILLE,1839,173
# of Precincts in the Locality:,,20564,1702
0101,101 - SALUDA,590,38
0102,102 - URBANNA,961,45
0201,201 - NEW MARKET,1617,80
0301,301 - WATERVIEW,666,31
0302,302 - CHURCH VIEW,797,26
0401,401- HARMONY VILLAGE,1398,80
0501,501 - WILTON,1528,73
# of Precincts in the Locality:,,7557,373
0101,101 - PRECINCT A-1,2458,220
0102,102 - PRECINCT A-2,2705,1026
0103,103 - PRECINCT A-3,3154,624
0201,201 - PRECINCT B-1,375,49
0202,202 - PRECINCT B-2,3249,534
0203,203 - PRECINCT B-3,1780,193
0204,204 - PRECINCT B-4,3085,482
0301,301 - PRECINCT C-1,2483,235
0302,302 - PRECINCT C-2,2218,170
0303,303 - PRECINCT C-3,825,45
0304,304 - PRECINCT C-4,2410,349
0401,401 - PRECINCT D-1,1367,231
0402,402 - PRECINCT D-2,1983,139
0403,403 - PRECINCT D-3,1869,185
0404,404 - PRECINCT D-4,954,54
0405,405 - PRECINCT D-5,2449,267
0501,501 - PRECINCT E-1,2300,406
0502,502 - PRECINCT E-2,1620,168
0503,503 - PRECINCT E-3,2820,1275
0601,601 - PRECINCT F-1,3098,922
0602,602 - PRECINCT F-2,2526,838
0701,701 - PRECINCT G-1,3353,841
0702,702 - PRECINCT G-2,2405,1156
# of Precincts in the Locality:,,51486,10409
0101,101 - ROCKFISH,2043,132
0201,201 - LOVINGSTON,1188,91
0202,202 - SCHUYLER,706,57
0301,301 - SHIPMAN,1639,92
0302,302 - GLADSTONE,290,24
0401,401 - ROSELAND,1857,94
0402,402 - MONTEBELLO,151,7
0501,501 - FABER,793,56
0502,502 - NELLYSFORD,1687,85
# of Precincts in the Locality:,,10354,638
0102,102 - TUNSTALL,708,31
0103,103 - SOUTHERN BRANCH,1791,80
0201,201 - QUINTON,1565,93
0202,202 - KENTWOOD,1106,72
0301,301 - WATKINS,980,44
0302,302 - CUMBERLAND,1381,55
0401,401 - PROVIDENCE FORGE,1852,83
0403,403 - MOUNTCASTLE,859,62
0501,501 - ELTHAM,1106,54
0502,502 - CHICKAHOMINY RIVER,1472,117
# of Precincts in the Locality:,,12820,691
0101,101 - PRECINCT 1-1,1867,156
0201,201 - PRECINCT 2-1,1712,70
0301,301 - PRECINCT 3-1,1707,85
0401,401 - PRECINCT 4-1,1623,65
0501,501 - PRECINCT 5-1,1784,116
# of Precincts in the Locality:,,8693,492
0101,101 - 1A,1522,69
0201,201 - 2A,1766,112
0301,301 - 3A,1066,67
0302,302 - 3B,573,28
0401,401 - 4A,2042,102
0501,501 - 5A,2063,108
# of Precincts in the Locality:,,9032,486
0101,101 - PRECINCT 1-1,1115,28
0102,102 - PRECINCT 1-2,743,7
0201,201 - PRECINCT 2-1,1421,89
0202,202 - PRECINCT 2-2,534,13
0301,301 - PRECINCT 3-1,916,20
0302,302 - PRECINCT 3-2,548,17
0401,401 - PRECINCT 4-1,1062,35
0402,402 - PRECINCT 4-2,844,23
0501,501 - PRECINCT 5-1,1880,70
# of Precincts in the Locality:,,9063,302
0101,101 - ONE WEST,2146,130
0102,102 - ONE EAST,2079,156
0201,201 - TWO WEST,2214,129
0202,202 - TWO EAST,1828,141
0301,301 - THREE WEST,2724,360
0302,302 - THREE EAST,793,66
0401,401 - FOUR WEST,2048,160
0402,402 - FOUR EAST,1943,214
0501,501 - FIVE SOUTH,2452,247
0502,502 - FIVE NORTH,2617,352
# of Precincts in the Locality:,,20844,1955
0101,101 - WEST LURAY,2885,331
0201,201 - EAST LURAY,2985,291
0301,301 - MARKSVILLE,3117,271
0401,401 - NEWPORT,2551,208
0501,501 - SHENANDOAH,2774,198
# of Precincts in the Locality:,,14312,1299
0101,101 - ARARAT,792,46
0102,102 - CLAUDVILLE,733,29
0103,103 - WILLIS GAP,758,35
0201,201 - DRY POND,445,14
0202,202 - PATRICK SPRINGS,1190,27
0203,203 - RUSSELL CREEK,924,27
0301,301 - CRITZ/STELLA,1441,48
0302,302 - LIBERTY,981,32
0401,401 - MEADOWS OF DAN,971,22
0402,402 - STUART ADMINISTRATION,1371,29
0501,501 - STUART COMMUNITY,558,16
0502,502 - ELAMSVILLE,823,20
0503,503 - WOOLWINE,943,28
# of Precincts in the Locality:,,11930,373
0103,103 - TWIN SPRINGS,2975,180
0105,105 - CHATHAM,1236,87
0106,106 - TUNSTALL,1325,79
0108,108 - WEST BLAIRS,783,26
0201,201 - CALLANDS,1175,54
0202,202- BEARSKIN,360,22
0204,204 - SANDY LEVEL,802,58
0206,206 - CLIMAX,892,41
0207,207 - GRETNA,2336,86
0301,301 - CENTRAL,1304,58
0305,305 - RICEVILLE,1117,50
0307,307 - EAST BLAIRS,1456,86
0308,308 - MT AIRY,677,20
0309,309 - EAST GRETNA,774,34
0402,402 - KEELING,1292,81
0404,404 - KENTUCK,2262,119
0405,405 - RINGGOLD,2547,165
0501,501 - HURT,2033,123
0502,502 - MOTLEY SYCAMORE,2132,103
0503,503 - RENAN,1118,28
0603,603 - STONY MILL,1546,73
0604,604 - SWANSONVILLE,1302,87
0605,605 - WHITMELL,1259,52
0606,606 - BROSVILLE,1245,73
0607,607 - DRY FORK,582,21
0702,702 - BACHELORS HALL,1725,87
0703,703 - FERRY ROAD,406,38
0704,704 - MT HERMON,2762,247
0705,705 - MT CROSS,1316,74
# of Precincts in the Locality:,,40739,2252
0101,101 - SUBLETTS,2154,71
0102,102 - MANAKIN,1331,48
0103,103 - FLAT ROCK,1214,51
0201,201 - POWHATAN STATION,1685,90
0202,202 - GRACELAND,2089,100
0301,301 - BETHESDA,1863,80
0302,302 - LEE'S LANDING,1314,62
