Precinct No.,Precinct Name,Active,Inactive
0603,603 - LYNDHURST,2195,82
0801,801 - DOOMS,1637,107
0802,802 - FISHERSVILLE,2872,184
0803,803 - WILSON,2197,201
# of Precincts in the Locality:,,43098,2794
0101,101 - WARM SPRINGS,597,11
0102,102 - MOUNTAIN GROVE,89,8
0201,201 - HOT SPRINGS,565,40
0301,301 - FAIRVIEW,478,17
0302,302 - BURNSVILLE,173,10
0401,401 - MILLBORO,692,28
0501,501 - HEALING SPRINGS,629,30
# of Precincts in the Locality:,,3223,144
0101,101 - GOODVIEW ELEM SCHOOL,3814,275
0102,102 - HARDY VOL FIRE CO,957,64
0103,103 - CHAMBLISSBURG FIRST AID BLDG,1255,81
0202,202 - STAUNTON RIVER HIGH SCHOOL,1382,110
0203,203 - MONETA ELEM SCHOOL,2977,216
0204,204 - BODY CAMP ELEM SCHOOL,473,31
0205,205 - SAUNDERS VOL FIRE CO,1680,148
0301,301 - NEW LONDON ACADEMY,3164,199
0302,302 - BEDFORD COUNTY PSA,890,77
0303,303 - BETHESDA METHODIST CHURCH,863,40
0304,304 - FOREST YOUTH ATHLETIC ASSOC,975,81
0305,305 - HUDDLESTON ELEM SCHOOL,833,42
0401,401 - FOREST LIBRARY,1641,126
0402,402 - THOMAS JEFFERSON ELEM SCHOOL,3536,241
0403,403 - KNIGHTS OF COLUMBUS BLDG,2457,228
0502,502 - BIG ISLAND ELEM SCHOOL,647,49
0503,503 - SEDALIA CENTER,759,24
0504,504 - SUCK SPRINGS BAPTIST CHURCH,391,13
0505,505 - BOONSBORO ELEMENTARY SCHOOL,2091,198
0506,506 - BOONSBORO RURITAN CLUB,2811,197
0507,507 - PLEASANT VIEW BAPTIST CHURCH,200,23
0601,601 - MONTVALE ELEM SCHOOL,1556,86
0602,602 - SHADY GROVE BAPTIST CHURCH,1753,104
0603,603 - THAXTON ELEM SCHOOL,1365,72
0604,604 - FLINT HILL COMMUNITY CENTER,1364,76
0701,701 - GOODE VOL RESCUE SQUAD,2049,94
0702,702 - LIBERTY HIGH SCHOOL,1950,113
0703,703 - BEDFORD CHRISTIAN CHURCH,2068,130
0704,704 - FOREST ELEM SCHOOL,304,32
# of Precincts in the Locality:,,46205,3170
0101,101 - BASTIAN,573,30
0102,102 - CERES,563,23
0201,201 - DAVIS,197,7
0202,202 - SEDDON,1044,51
0301,301 - HOLLYBROOK,565,19
0302,302 - MECHANICSBURG,262,12
0401,401 - ROCKY GAP,1288,47
# of Precincts in the Locality:,,4492,189
0101,101 - AMSTERDAM,2190,179
0102,102 - ASBURY,2433,102
0201,201 - BLUE RIDGE,2404,113
0202,202 - RAINBOW FOREST,2431,100
0301,301 - BUCHANAN,1503,79
0302,302 - MILL CREEK,1301,84
0303,303 - ROARING RUN,438,15
0304,304 - SPRINGWOOD,1005,43
0402,402 - COURTHOUSE,1245,82
0403,403 - EAGLE ROCK,799,29
0404,404 - GLEN WILTON,600,26
0405,405 - ORISKANY,71,6
0406,406 - TOWN HALL,1510,72
0501,501 - COYNER SPRINGS,1146,78
0502,502 - CLOVERDALE,2572,179
0503,503 - TROUTVILLE,833,50
# of Precincts in the Locality:,,22481,1237
0101,101 - BRODNAX,523,33
0102,102 - ROCK STORE,834,54
0103,103 - TILLMAN,900,61
0201,201 - DROMGOOLE,313,15
0202,202 - EDGERTON,1062,62
0203,203 - FITZHUGH,762,44
0301,301 - ALBERTA,221,25
0302,302 - DANIELTOWN,946,53
0303,303 - ELMORE,425,33
0304,304 - SEYMOUR,437,61
0401,401 - STURGEON,1638,79
0402,402 - KING'S STORE,517,38
0501,501 - LAWRENCEVILLE,1977,161
# of Precincts in the Locality:,,10555,719
0102,102 - BLACKEY,716,34
0103,103 - HURLEY,1861,100
0201,201 - GRASSY,189,6
0202,202 - BULL,949,16
0203,203 - ROCKLICK,1214,30
0301,301 - SLATE,1246,33
0302,302 - NORTH GRUNDY,1209,50
0403,403 - SOUTH GRUNDY,1558,97
0404,404 - OAKWOOD,163,7
0501,501 - PRATER,948,33
0502,502 - FOX,318,20
0503,503 - VANSANT,913,36
0601,601 - COUNCIL,626,42
0602,602 - GARDEN,980,33
0603,603 - HURRICANE,620,19
0701,701 - WHITEWOOD,1457,83
0702,702 - CONTRARY,904,50
# of Precincts in the Locality:,,15871,689
0101,101 - NEW CANTON,1337,95
0102,102  - GEORGIA CREEK,285,15
0201,201 - WHITE HALL,887,50
0301,301 - CURDSVILLE,937,66
0302,302 - NEW STORE,658,47
0401,401 - MAYSVILLE,1561,103
0501,501 - WRIGHTS,657,46
0502,502 - GLENMORE,903,85
0601,601 - SLATE RIVER,1457,101
0701,701 - GOLD HILL,974,46
# of Precincts in the Locality:,,9656,654
0101,101 - BROOKVILLE,2809,186
0102,102 - NEW LONDON,2515,213
0201,201 - WALKER,2227,299
0202,202 - BEDFORD SPRINGS,2737,168
0301,301 - EVINGTON,1018,50
0302,302 - OTTER RIVER,995,48
0303,303 - ALTAVISTA,2799,156
0401,401 - THREE FORKS,1624,56
0402,402 - COURT HOUSE,3140,179
0501,501 - SPRING HILL,2932,271
0502,502 - YELLOW BRANCH,1784,116
0601,601 - KINGS,2066,154
0602,602 - CONCORD,2658,144
0701,701 - BROOKNEAL,1692,98
0702,702 - GLADYS,2224,96
0703,703 - MORRIS CHURCH,858,39
# of Precincts in the Locality:,,34078,2273
0101,101 - BOWLING GREEN,1635,119
0102,102 - SPARTA,1317,88
0201,201 - NORTH MADISON,1211,128
0202,202 - SOUTH MADISON,1660,199
0301,301 - PORT ROYAL,817,87
0302,302 - WOODFORD,1977,171
0401,401 - DAWN,2350,149
0402,402 - CARMEL CHURCH,733,55
0501,501 - WEST MATTAPONI,1554,145
0502,502 - MILFORD,1390,110
0601,601 - CHILESBURG,1599,225
0602,602 - LAKE,1108,182
# of Precincts in the Locality:,,17351,1658
0101,101 - MT BETHEL,890,61
0102,102 - ST PAUL,1141,68
0103,103 - LAMBSBURG,681,66
0105,105 - FANCY GAP,802,68
0201,201 - HILLSVILLE B,2090,124
0202,202 - LAUREL FORK,701,32
0203,203 - GLADESBORO,1009,59
0301,301 - HILLSVILLE C,2363,163
0302,302 - SYLVATUS,766,46
0303,303 - DUGSPUR,429,23
0402,402 - WOODLAWN D,1599,99
0403,403 - OAKLAND D,877,59
0405,405 - OAKLAND A,743,27
0406,406 - WOODLAWN F,288,24
0501,501 - VAUGHAN,581,40
0502,502 - GLADEVILLE,1379,91
0503,503 - WOODLAWN E,763,43
0504,504 - LAUREL,794,41
# of Precincts in the Locality:,,17896,1134
0101,101 - PRECINCT 1-1,1759,58
0201,201 - PRECINCT 2-1,1689,35
0301,301 - PRECINCT 3-1,1841,47
# of Precincts in the Locality:,,5289,140
0101,101 - COUNTY SEAT,1240,76
0201,201 - RED OAK WYLLIESBURG,1184,66
0302,302 - DRAKES BRANCH,989,69
0401,401 - KEYSVILLE,1188,81
0501,501 - CULLEN,630,41
0503,503 - RED HOUSE,501,45
0602,602 - PHENIX,1170,55
0701,701 - BACON,574,44
0702,702 - SAXE,533,27
# of Precincts in the Locality:,,8009,504
0101,101 - BELLWOOD,1905,158
0102,102 - SOUTH CHESTER,3266,458
0103,103 - ENON,3297,240
0104,104 - NORTH CHESTER,3263,210
0105,105 - DREWRYS BLUFF,2777,367
0106,106 - HARROWGATE,4400,394
0107,107 - WELLS,3012,297
0108,108 - ECOFF,4141,349
0109,109 - ELIZABETH SCOTT,4294,432
0110,110 - DUTCH GAP,1936,104
0111,111 - IRON BRIDGE,4786,441
0112,112 - CARVER,2607,250
0201,201 - GATES,2538,297
0202,202 - BEULAH,3195,189
0203,203 - BIRD,2332,167
0204,204 - JACOBS,1911,111
0205,205 - FALLING CREEK,3568,256
0206,206 - BELMONT,1783,285
0207,207 - CHIPPENHAM,1179,226
0208,208 - MEADOWBROOK,2982,199
0209,209 - SALEM CHURCH,3771,258
0210,210 - FIVE FORKS,3455,216
0211,211 - NASH,3804,292
0212,212 - ST. LUKE'S,1760,183
0213,213 - SOUTHSIDE,4362,317
0214,214 - HOPKINS,629,224
0301,301 - ETTRICK,5359,509
0302,302 - DEER RUN,1295,106
0303,303 - MATOACA,3867,193
0304,304 - WINFREES STORE,3573,162
0305,305 - BEACH,2294,110
0306,306 - WINTERPOCK,3451,140
0307,307 - COSBY,3513,447
0308,308 - SOUTH MANCHESTER,1097,245
0309,309 - SKINQUARTER,3360,160
0310,310 - TOMAHAWK,3193,235
0313,313 - WOOLRIDGE,3759,293
0315,315 - BAILEY BRIDGE,3068,141
0316,316 - SPRING RUN,3077,215
0317,317 - BIRKDALE,3061,174
0401,401 - HARBOUR POINTE,1982,235
0402,402 - GENITO,4846,529
0403,403 - BRANDERMILL,3250,324
0404,404 - PROVIDENCE,2887,172
0405,405 - LA PRADE,3031,213
0406,406 - SMOKETREE,2571,139
0407,407 - MONACAN,1628,72
0408,408 - REAMS,3937,253
0409,409 - MANCHESTER,1508,79
0410,410 - WAGSTAFF,1785,111
0411,411 - SWIFT CREEK,3000,276
0413,413 - SHENANDOAH,2711,198
0414,414 - CRENSHAW,4455,427
0415,415 - EVERGREEN,3082,240
0416,416 - EVERGREEN WEST,1285,189
0417,417 - EDGEWATER,988,67
0501,501 - HUGUENOT,2344,128
0502,502 - CRESTWOOD,1581,56
0503,503 - MIDLOTHIAN,5703,352
0504,504 - ROBIOUS,4114,177
0505,505 - BON AIR,3024,143
0506,506 - GREENFIELD,3091,222
0507,507 - SALISBURY,3903,172
0508,508 - BELGRADE,3296,384
0509,509 - CRANBECK,1737,194
0510,510 - SYCAMORE,3178,182
0511,511 - BLACK HEATH,2047,86
0513,513 - BEAUFONT,1508,314
0514,514 - WATKINS,3574,243
0515,515 - DAVIS,2669,229
0516,516 - POCOSHOCK,1695,171
0517,517 - ROSELAND,364,8
# of Precincts in the Locality:,,207694,16635
0101,101 - RUSSELL,2045,110
0201,201 - BERRYVILLE,1777,155
0301,301 - MILLWOOD,1356,89
0302,302 - PINE GROVE,627,27
0401,401 - WHITE POST,1907,169
0501,501 - BUCKMARSH,1420,73
0502,502 - BLUE RIDGE,480,38
# of Precincts in the Locality:,,9612,661
0101,101 - COURT HOUSE,690,47
0201,201 - AMMENDALE PRECINCT,677,26
0202,202 - NORTH MOUNTAIN,118,6
0301,301 - GIVENS & REYNOLDS STORE,409,37
0302,302 - MCGUIRES STORE,184,8
0303,303 - MARSHALLS STORE,157,7
0401,401 - BARBOURS CREEK,246,7
0402,402 - PAINT BANK,77,2
0403,403 - CRAIG SPRINGS,308,11
0404,404 - FORKS OF JOHNS CREEK,94,9
0501,501 - CRAIG CITY,697,35
# of Precincts in the Locality:,,3657,195
0101,101 - WEST FAIRFAX,3637,373
0201,201 - EAST FAIRFAX,3099,493
0302,302 - EGGBORNSVILLE,1581,131
0303,303 - CARDOVA,1471,123
0304,304 - WILLOW SHADE,738,122
0401,401 - ELDORADO,1803,129
0402,402 - BROWNS STORE,2780,168
0501,501 - JEFFERSONTON,2442,190
0502,502 - RIXEYVILLE,2098,156
0601,601 - MITCHELLS,382,29
0602,602 - PEARL SAMPLE,2276,172
0603,603 - SOUTH RIDGE,885,192
0702,702 - BRANDY STATION,2244,158
0703,703 - LIGNUM,1219,91
0704,704 - RICHARDSVILLE,549,34
# of Precincts in the Locality:,,27204,2561
0101,101 - PRECINCT 1,1296,111
0201,201 - PRECINCT 2,1311,101
0301,301 - ELECTION DISTRICT 3 PRECINCT,1300,94
0401,401 - PRECINCT 4,1286,86
0501,501 - PRECINCT 5,1209,152
# of Precincts in the Locality:,,6402,544
0101,101 - SOUTH CLINTWOOD,2267,174
0201,201 - NORA,792,57
0202,202 - FRYING PAN,288,14
0203,203 - CLINCHCO,1003,60
0301,301 - WEST DANTE,289,29
0302,302 - HERALD,562,45
0303,303 - RIDGE,665,69
0304,304 - LONGS FORK,551,36
0401,401 - COLLEY,1062,51
0402,402 - HAYSI,996,98
0501,501 - TARPON,518,51
0502,502 - ARTRIP,657,31
0503,503 - NORTH CLINTWOOD,966,71
# of Precincts in the Locality:,,10616,786
0101,101 - WHITE OAK,691,27
0102,102 - ROCKY RUN,1174,87
0103,103 - CHURCH ROAD,1647,100
0201,201 - ROHOIC,949,69
0202,202 - SUTHERLAND,2525,196
0301,301 - REAMS,669,44
0302,302 - NEW HOPE,1202,94
0303,303 - LITTLE ZION,1834,93
0401,401 - DINWIDDIE,1875,94
0402,402 - MCKENNEY,1050,100
0403,403 - CHERRY HILL,736,48
0501,501 - EDGEHILL,456,89
0502,502 - CHESDIN,2605,220
# of Precincts in the Locality:,,17413,1261
0101,101 - GREATER TAPPAHANNOCK,1682,160
0201,201 - NORTH,1866,70
0301,301 - SOUTH,1850,78
0401,401 - CENTRAL,1798,103
# of Precincts in the Locality:,,7196,411
0104,104 - CHAPEL,2317,136
0105,105 - FAIRVIEW,4768,376
0106,106 - HERITAGE,3596,823
0108,108 - KINGS PARK,2369,201
0109,109 - LITTLE RUN,3428,163
0110,110 - NORTH SPRINGFIELD,4187,252
0113,113 - CANTERBURY,4178,221
0115,115 - RAVENSWORTH,1653,108
0116,116 - WAKEFIELD,2343,124
0117,117 - WOODSON,2958,184
0118,118 - LAKE BRADDOCK,4034,361
0119,119 - LAUREL,4077,258
0120,120 - SIDEBURN,3200,260
0121,121 - VILLA,2003,104
0123,123 - ROBINSON,4379,312
0125,125 - SIGNAL HILL,3227,252
0126,126 - BONNIE BRAE,2271,261
0127,127 - BURKE CENTRE,4551,355
0128,128 - CARDINAL,2157,312
0129,129 - KEENE MILL,1624,143
0130,130 - TERRA CENTRE,2457,149
0131,131 - EAGLE VIEW,3486,565
0132,132 - MONUMENT,3892,741
0133,133 - DANBURY,638,90
0134,134 - UNIVERSITY,2309,120
0202,202 - FLINT HILL,3095,144
0203,203 - FLORIS,3806,171
